Name Version Type Abs_path
gcp-metadata 4.2.1 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
get-caller-file 2.0.5 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
google-auth-library 6.1.3 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
google-p12-pem 3.0.3 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
google-protobuf 3.13.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
gtoken 5.0.5 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
https-proxy-agent 5.0.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
debug 4.2.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
is-stream 2.0.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
json-bigint 1.0.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
jwa 2.0.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
jws 4.0.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
locate-path 5.0.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
lodash 4.17.20 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
lodash.camelcase 4.3.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
long 4.0.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
lru-cache 6.0.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
yallist 4.0.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
mime 2.4.6 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
minimist 1.2.5 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
ms 2.1.2 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
node-fetch 2.6.1 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
node-forge 0.10.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
p-limit 2.3.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
p-locate 4.1.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
p-try 2.2.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
path-exists 4.0.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
protobufjs 6.10.1 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
@types/node 13.13.30 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
require-directory 2.1.1 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
require-main-filename 2.0.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
safe-buffer 5.1.2 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
set-blocking 2.0.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
which-module 2.0.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
y18n 4.0.3 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
yargs-parser 18.1.3 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
camelcase 5.3.1 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
