Name Version Type Abs_path
xterm-addon-fit ^0.7.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
xterm-addon-search ^0.11.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
xterm-addon-web-links ^0.8.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
zxcvbn ^4.4.2 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
@babel/core ^7.21.4 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
@babel/eslint-parser ^7.21.3 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
@babel/plugin-syntax-dynamic-import ^7.8.3 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
@babel/plugin-transform-runtime ^7.21.4 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
@babel/preset-env ^7.21.4 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
@babel/preset-react ^7.18.6 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
@emotion/jest ^11.10.5 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
@svgr/webpack ^7.0.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
@testing-library/dom ^9.2.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
@testing-library/jest-dom ^5.16.5 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
@testing-library/react ^12.1.5 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
@testing-library/user-event ^14.4.3 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
@trivago/prettier-plugin-sort-imports ^4.1.1 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
@typescript-eslint/eslint-plugin ^5.57.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
@typescript-eslint/parser ^5.57.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
assert ^2.0.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
autoprefixer ^10.4.14 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
axios-mock-adapter ^1.21.3 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
babel-jest ~29.5.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
child_process ^1.0.2 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
clean-webpack-plugin ^4.0.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
copy-webpack-plugin ^11.0.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
core-js ^3.29.1 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
css-loader ^6.7.3 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
esbuild-loader ^3.0.1 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
eslint ^8.37.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
eslint-plugin-import ^2.27.5 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
eslint-plugin-prettier ^4.2.1 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
eslint-plugin-react ^7.32.2 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
eslint-plugin-sonarjs ^0.19.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
eslint-webpack-plugin ^4.0.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
file-loader ^6.2.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
html-webpack-plugin ^5.5.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
husky ^8.0.3 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
jest ^29.5.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
jest-canvas-mock ^2.5.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
jest-environment-jsdom ^29.5.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
jest-junit ^15.0.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
jest-resolve ~29.5.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
jest-watch-typeahead 2.2.2 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
jsdom-worker ^0.3.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
less ^4.1.3 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
less-loader ^11.1.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
lint-staged ^13.2.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
mini-css-extract-plugin ^2.7.5 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
msw ^0.36.8 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
postcss ^8.4.21 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
postcss-loader ^7.1.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
prettier ^2.8.7 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
redux-mock-store ^1.5.4 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
util ^0.12.5 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
webpack ^5.77.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
webpack-cli ^5.0.1 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
yarn ^1.22.19 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder2\package.json"
fetchers 5.21.3 pip "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder3\requirements.txt"
reallytho 2.2.2 pip "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder3\requirements.txt"
@emotion/react ^11.10.6 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder4\package.json"
@emotion/styled ^11.10.6 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder4\package.json"
@mdi/js ^7.2.96 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder4\package.json"
@monaco-editor/react ^4.4.6 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder4\package.json"
@mui/icons-material ^5.11.11 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder4\package.json"
@mui/material ^5.11.15 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder4\package.json"
@mui/styles ^5.11.13 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder4\package.json"
@mui/x-date-pickers ^6.0.4 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder4\package.json"
@redux-devtools/extension ^3.2.5 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder4\package.json"
@reduxjs/toolkit ^1.9.3 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder4\package.json"
@stripe/react-stripe-js ^2.1.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder4\package.json"
@stripe/stripe-js ^1.52.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder4\package.json"
axios ^1.3.4 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder4\package.json"
buffer ^6.0.3 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder4\package.json"
copy-to-clipboard ^3.3.3 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder4\package.json"
crypto-browserify ^3.12.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder4\package.json"
generate-password ^1.7.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder4\package.json"
jwt-decode ^3.1.2 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder4\package.json"
md5 ^2.3.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder4\package.json"
moment ^2.29.4 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder4\package.json"
moment-duration-format ^2.3.2 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder4\package.json"
msgpack5 ^6.0.2 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder4\package.json"
pluralize ^8.0.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder4\package.json"
process ^0.11.10 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder4\package.json"
react ~17.0.2 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder4\package.json"
react-beautiful-dnd ^13.1.1 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder4\package.json"
react-big-calendar ^1.6.9 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder4\package.json"
